row,label,fieldtype,fieldname,non_negative,reqd,unique,in_list_view,in_standard_filter,in_global_search,in_preview,bold,no_copy,allow_in_quick_entry,translatable,default,precision,length,options,fetch_from,fetch_if_empty,depends_on,permlevel,hidden,read_only,collapsible,allow_bulk_edit,collapsible_depends_on,ignore_user_permissions,allow_on_submit,report_hide,remember_last_selected_value,hide_border,ignore_xss_filter,mandatory_depends_on,read_only_depends_on,in_filter,hide_seconds,hide_days,description,print_hide,print_hide_if_no_value,print_width,columns,width,is_custom_field
1,Hub Sync ID,Data,hub_sync_id,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
2,woocommerce_check,Check,woocommerce_check,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
3,woocommerce_id,Data,woocommerce_id,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
4,variation_id,Data,variation_id,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
5,tiktok_id,Data,tiktok_id,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
6,,Section Break,name_and_description_section,,,,,,,,,,,,,,,fa fa-flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Series,Select,naming_series,,1,,,,,,,,,,,,,"SE-.####
P-.####
PACK-.####
I-.####
S-.####
E-.####
MP-.####
ACT-.####
MERCH-.####
RR-.####
REP-.####",,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Item Code,Data,item_code,,,1,,1,1,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
9,Sync Quantity With Shopify,Check,sync_qty_with_shopify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,Variant Of,Link,variant_of,,,,,,,,,,,,,,,Item,,,variant_of,,,1,,,,1,,,,,,,,,,,"If item is a variant of another item then description, image, pricing, taxes etc will be set from the template unless explicitly specified",,,,,282,
11,Item Name,Data,item_name,,,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,
12,Item Group,Link,item_group,,1,,1,1,,1,,,,,,,,Item Group,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,HSN/SAC,Link,gst_hsn_code,,,,,,,,,,,,,,,GST HSN Code,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
14,Amazon ASIN,Data,amazon_asin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
15,Is Item from Hub,Check,is_item_from_hub,,,,,,,,,,,,0,,,,,,eval:!doc.is_fixed_asset,,1,1,,,,,,,,,,,,,,,,,,,,,
16,Unidad de Medida,Link,stock_uom,,1,,,,,,,,,,"""""",,,UOM,,,,,,,,,,1,,,,,,,,,,,,,,,,,
17,Stock Keeping Unit,Data,stock_keeping_unit,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
18,Clave de Producto,Data,clave_de_producto,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
19,,Column Break,column_break0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Disabled,Check,disabled,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Allow Alternative Item,Check,allow_alternative_item,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
22,Es Inventariable,Check,is_stock_item,,,,,,,,1,,,,0,,,,,,eval:!doc.is_fixed_asset,,,,,,,,,,,,,,,,,,,,,,,,
23,Sync With Shopify,Check,sync_with_shopify,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
24,Include Item In Manufacturing,Check,include_item_in_manufacturing,,,,,,,,,,,,1,,,,,,eval:!doc.is_fixed_asset,,,,,,,,,,,,,,,,,,,,,,,,
25,Stock de Apertura,Float,opening_stock,,,,,,,,1,,,,,,,,,,eval:(doc.__islocal&&doc.is_stock_item && !doc.has_serial_no && !doc.has_batch_no),,1,,,,,,,,,,,,,,,,,,,,,,
26,Valuation Rate,Currency,valuation_rate,,,,,,,,,,,,,,,,,,is_stock_item,,,,,,,,,,,,,,,,,,,,,,,,
27,Standard Selling Rate,Currency,standard_rate,,,,,,,,1,,,,,,,,,,eval:doc.__islocal,,,,,,,,,,,,,,,,,,,,,,,,
28,Is Fixed Asset,Check,is_fixed_asset,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Auto Create Assets on Purchase,Check,auto_create_assets,,,,,,,,,,,,0,,,,,,is_fixed_asset,,,,,,,,,,,,,,,,,,,,,,,,
30,Asset Category,Link,asset_category,,,,,,,,,,,,,,,Asset Category,,,is_fixed_asset,,,,,,,,,,,,,is_fixed_asset,,,,,,,,,,,
31,Asset Naming Series,Select,asset_naming_series,,,,,,,,,,,,,,,,,,is_fixed_asset,,,,,,,,,,,,,,,,,,,,,,,,
32,Over Delivery/Receipt Allowance (%),Float,over_delivery_receipt_allowance,,,,,,,,,,,,,,,,,,eval:!doc.__islocal && !doc.is_fixed_asset,,,,,,,,,,,,,,,,,,,,,,,,
